,word,occurrences,percentile
1338,可爱,13243,0.9940259653572739
863,次,13178,0.9939925908620633
491,真是,13165,0.9939592163668525
1090,起来,13142,0.9939258418716417
527,钱,13140,0.9938924673764309
231,意思,13037,0.9938590928812202
402,里,12864,0.9938257183860094
278,出,12808,0.9937923438907986
552,人家,12735,0.9937589693955879
640,为,12627,0.9937255949003772
83,听,12625,0.9936922204051664
1845,加油,12583,0.9936588459099556
342,不好,12231,0.9936254714147449
0,希望,12223,0.9935920969195341
731,孩子,12173,0.9935587224243233
19,地,12071,0.9935253479291126
480,咋,12065,0.9934919734339018
338,先,12054,0.993458598938691
17,生日,12016,0.9934252244434802
276,拍,11941,0.9933918499482696
483,早,11914,0.9933584754530588
1019,见,11858,0.993325100957848
140,开,11829,0.9932917264626373
822,三,11780,0.9932583519674265
253,东西,11725,0.9932249774722157
714,以后,11712,0.9931916029770049
1606,好看,11707,0.9931582284817942
2100,开始,11613,0.9931248539865835
548,哪里,11567,0.9930914794913727
94,一直,11565,0.993058104996162
516,木,11444,0.9930247305009512
1724,第,11434,0.9929913560057404
917,伤,11403,0.9929579815105296
41,支持,11396,0.9929246070153189
997,张,11319,0.9928912325201081
374,女,11312,0.9928578580248973
1893,只是,11227,0.9928244835296867
340,长,11215,0.9927911090344759
881,男人,11209,0.9927577345392651
359,晚上,11180,0.9927243600440543
24,问,11128,0.9926909855488436
606,但,11090,0.9926576110536328
255,亲,11080,0.992624236558422
448,中国,11029,0.9925908620632113
293,女人,10992,0.9925574875680006
1183,可能,10975,0.9925241130727898
676,儿,10826,0.992490738577579
569,帮,10816,0.9924573640823683
1161,行,10775,0.9924239895871575
908,刚,10706,0.9923906150919467
313,下次,10652,0.992357240596736
985,肯定,10575,0.9923238661015252
664,可惜,10558,0.9922904916063144
75,月,10423,0.9922571171111036
346,当,10317,0.992223742615893
1165,错,10229,0.9921903681206822
652,为什么,10173,0.9921569936254714
1171,幸福,10096,0.9921236191302607
1719,但是,10074,0.9920902446350499
399,最近,10014,0.9920568701398391
1253,成,9983,0.9920234956446283
1823,敢,9849,0.9919901211494176
1260,号,9835,0.9919567466542069
937,很多,9831,0.9919233721589961
1879,干,9826,0.9918899976637854
502,这种,9810,0.9918566231685746
1920,必须,9755,0.9918232486733638
777,累,9729,0.991789874178153
999,好好,9717,0.9917564996829423
656,看看,9693,0.9917231251877315
632,以为,9599,0.9916897506925207
828,哟,9549,0.9916563761973101
1443,狗,9520,0.9916230017020993
724,车,9505,0.9915896272068885
1595,哭,9477,0.9915562527116777
467,比较,9469,0.991522878216467
377,男,9401,0.9914895037212562
495,拉,9369,0.9914561292260454
688,力,9311,0.9914227547308347
677,笑,9295,0.991389380235624
629,好像,9177,0.9913560057404132
942,弄,9166,0.9913226312452024
123,讲,9146,0.9912892567499917
646,从,9139,0.9912558822547809
965,姐姐,9083,0.9912225077595701
746,拿,9059,0.9911891332643594
398,帅,9034,0.9911557587691486
288,妹,9007,0.9911223842739378
1983,前,8947,0.991089009778727
252,关注,8905,0.9910556352835164
295,好吃,8882,0.9910222607883056
734,们,8851,0.9909888862930948
376,看来,8827,0.9909555117978841
1320,完,8822,0.9909221373026733
98,生活,8807,0.9908887628074625
919,心,8787,0.9908553883122517
200,照片,8738,0.990822013817041
1070,它,8711,0.9907886393218303
474,穿,8637,0.9907552648266195
824,高,8622,0.9907218903314088
1095,少,8609,0.990688515836198
611,噶,8579,0.9906551413409872
856,后,8507,0.9906050795981711
1311,难道,8507,0.9906050795981711
14,需要,8462,0.9905550178553549
194,可是,8433,0.9905216433601441
99,原来,8340,0.9904882688649335
550,地方,8257,0.9904548943697227
770,如果,8168,0.9904215198745119
540,撒,8165,0.9903881453793011
282,期待,8159,0.9903547708840904
817,准备,8150,0.9903213963888796
4540,亲爱,8109,0.9902880218936688
806,额,8100,0.9902546473984581
663,嘻嘻,8081,0.9902212729032474
762,之,8046,0.9901878984080366
27,北京,8044,0.9901545239128258
2833,学,7970,0.9901211494176151
634,工作,7963,0.9900710876747989
2391,发现,7963,0.9900710876747989
1142,漂亮,7937,0.9900210259319828
358,昨天,7901,0.989987651436772
1935,记得,7864,0.9899542769415612
403,新,7858,0.9899209024463504
182,样,7851,0.9898875279511398
773,电话,7844,0.989854153455929
622,唔,7811,0.9898207789607182
375,办,7776,0.9897874044655075
1098,美女,7755,0.9897540299702967
1770,难,7754,0.9897206554750859
406,写,7734,0.9896872809798751
1073,逼,7726,0.9896539064846644
426,上班,7688,0.9896205319894537
768,反正,7667,0.9895871574942429
1535,求,7588,0.9895537829990322
1550,一点,7584,0.9895204085038214
1321,回家,7557,0.9894870340086106
1653,二,7534,0.9894536595133998
1156,估计,7453,0.9894202850181891
10,加,7408,0.9893869105229783
1062,认识,7394,0.9893535360277675
329,送,7393,0.9893201615325569
2899,生,7372,0.9892867870373461
2651,骂,7322,0.9892534125421353
1514,黑,7315,0.9892200380469245
43,祝,7282,0.9891866635517138
306,不行,7264,0.989153289056503
485,确实,7247,0.9891199145612922
960,靠,7218,0.9890865400660815
704,只有,7209,0.9890531655708708
1757,路,7185,0.98901979107566
1239,条,7135,0.9889864165804492
3133,够,7130,0.9889530420852385
270,该,7073,0.9889196675900277
23,有人,7044,0.9888862930948169
22,日,7017,0.9888362313520008
429,别人,7017,0.9888362313520008
907,时,6901,0.9887861696091846
13,句,6885,0.9887527951139738
1222,假,6884,0.9887194206187632
172,手机,6880,0.9886860461235524
599,放,6873,0.9886526716283416
364,羡慕,6871,0.9886192971331309
1748,过来,6802,0.9885859226379201
3200,蛮,6763,0.9885525481427093
1774,悲,6724,0.9885191736474985
1334,偶,6715,0.9884857991522878
566,换,6705,0.9884524246570771
515,总,6688,0.9884190501618663
786,好多,6671,0.9883856756666556
893,恭喜,6651,0.9883523011714448
82,回去,6642,0.988318926676234
2416,心情,6635,0.9882855521810232
2114,种,6627,0.9882521776858125
1926,还要,6572,0.9882188031906017
327,当然,6554,0.9881854286953909
818,卖,6541,0.9881520542001803
2605,伤心,6531,0.9881186797049695
1538,吃饭,6513,0.9880853052097587
458,与,6498,0.9880519307145479
1565,甘,6495,0.9880185562193372
4621,越,6494,0.9879851817241264
330,机会,6478,0.9879518072289156
122,神马,6460,0.9879184327337049
605,容易,6456,0.9878850582384942
592,这些,6455,0.9878516837432834
2229,晕,6400,0.9878183092480726
978,不用,6381,0.9877849347528619
473,告诉,6375,0.9877515602576511
401,注意,6334,0.9877181857624403
291,绝对,6330,0.9876848112672296
191,同学,6273,0.9876514367720188
309,变,6269,0.987618062276808
1383,直接,6260,0.987568000533992
1037,吖,6260,0.987568000533992
651,噢,6258,0.9875179387911758
234,俺,6239,0.987484564295965
1430,不到,6224,0.9874511898007543
2234,天天,6197,0.9874178153055435
549,住,6195,0.9873844408103327
1113,毛,6191,0.987351066315122
524,没事,6186,0.9873176918199112
2705,学校,6172,0.9872843173247005
310,胖,6117,0.9872509428294897
505,睡觉,6106,0.987217568334279
1039,晚,6087,0.9871841938390682
4368,出去,6070,0.9871508193438574
911,咱,6067,0.9871174448486467
1129,不敢,6060,0.9870840703534359
753,上海,6055,0.9870506958582251
957,只能,6053,0.9870173213630143
612,喔,6004,0.9869839468678037
571,子,6002,0.9869505723725929
2101,呗,5997,0.9869171978773821
2108,欢迎,5977,0.9868838233821714
1223,催,5970,0.9868504488869606
498,终于,5966,0.9868170743917498
